model,A_bar,total_rounds,unique_agents,total_altruism,mean_altruism,altruism_rate,max_altruism
altruistic_deepseek/deepseek-r1-0528-qwen3-8b:free,0.050292397660818715,171,5,43.0,0.25146198830409355,18.128654970760234,5.0
altruistic_google/gemini-2.5-flash,0.050292397660818715,171,5,43.0,0.25146198830409355,18.128654970760234,5.0
altruistic_meta-llama/llama-3.3-8b-instruct:free,0.050292397660818715,171,5,43.0,0.25146198830409355,18.128654970760234,5.0
altruistic_meta-llama/llama-4-scout:free,0.050292397660818715,171,5,43.0,0.25146198830409355,18.128654970760234,5.0
altruistic_openai/chatgpt-4o-latest,0.050292397660818715,171,5,43.0,0.25146198830409355,18.128654970760234,5.0
altruistic_openai/gpt-3.5-turbo,0.050292397660818715,171,5,43.0,0.25146198830409355,18.128654970760234,5.0
altruistic_microsoft/phi-3.5-mini-128k-instruct,0.05,172,5,43.0,0.25,18.023255813953487,5.0
altruistic_anthropic/claude-sonnet-4,0.04912280701754386,171,5,42.0,0.24561403508771928,17.543859649122805,5.0
